gene,is_de,true_fc,direction
Gene_00000,False,1.0,none
Gene_00001,False,1.0,none
Gene_00002,True,0.21889293204399823,down
Gene_00003,False,1.0,none
Gene_00004,False,1.0,none
Gene_00005,False,1.0,none
Gene_00006,False,1.0,none
Gene_00007,False,1.0,none
Gene_00008,False,1.0,none
Gene_00009,False,1.0,none
Gene_00010,False,1.0,none
Gene_00011,False,1.0,none
Gene_00012,False,1.0,none
Gene_00013,False,1.0,none
Gene_00014,False,1.0,none
Gene_00015,False,1.0,none
Gene_00016,False,1.0,none
Gene_00017,False,1.0,none
Gene_00018,False,1.0,none
Gene_00019,False,1.0,none
Gene_00020,False,1.0,none
Gene_00021,False,1.0,none
Gene_00022,False,1.0,none
Gene_00023,False,1.0,none
Gene_00024,False,1.0,none
Gene_00025,False,1.0,none
Gene_00026,False,1.0,none
Gene_00027,False,1.0,none
Gene_00028,True,0.41293018518246605,down
Gene_00029,False,1.0,none
Gene_00030,False,1.0,none
Gene_00031,False,1.0,none
Gene_00032,False,1.0,none
Gene_00033,False,1.0,none
Gene_00034,False,1.0,none
Gene_00035,False,1.0,none
Gene_00036,False,1.0,none
Gene_00037,False,1.0,none
Gene_00038,False,1.0,none
Gene_00039,False,1.0,none
Gene_00040,False,1.0,none
Gene_00041,False,1.0,none
Gene_00042,False,1.0,none
Gene_00043,False,1.0,none
Gene_00044,False,1.0,none
Gene_00045,False,1.0,none
Gene_00046,False,1.0,none
Gene_00047,False,1.0,none
Gene_00048,False,1.0,none
Gene_00049,False,1.0,none
Gene_00050,False,1.0,none
Gene_00051,False,1.0,none
Gene_00052,False,1.0,none
Gene_00053,False,1.0,none
Gene_00054,False,1.0,none
Gene_00055,False,1.0,none
Gene_00056,False,1.0,none
Gene_00057,False,1.0,none
Gene_00058,False,1.0,none
Gene_00059,False,1.0,none
Gene_00060,False,1.0,none
Gene_00061,False,1.0,none
Gene_00062,False,1.0,none
Gene_00063,False,1.0,none
Gene_00064,False,1.0,none
Gene_00065,False,1.0,none
Gene_00066,True,3.6373324562168317,up
Gene_00067,False,1.0,none
Gene_00068,True,3.961753364820041,up
Gene_00069,False,1.0,none
Gene_00070,False,1.0,none
Gene_00071,False,1.0,none
Gene_00072,False,1.0,none
Gene_00073,False,1.0,none
Gene_00074,False,1.0,none
Gene_00075,False,1.0,none
Gene_00076,False,1.0,none
Gene_00077,False,1.0,none
Gene_00078,True,4.179712124983381,up
Gene_00079,False,1.0,none
Gene_00080,True,0.45524379994103664,down
Gene_00081,False,1.0,none
Gene_00082,False,1.0,none
Gene_00083,False,1.0,none
Gene_00084,False,1.0,none
Gene_00085,False,1.0,none
Gene_00086,False,1.0,none
Gene_00087,False,1.0,none
Gene_00088,False,1.0,none
Gene_00089,False,1.0,none
Gene_00090,False,1.0,none
Gene_00091,False,1.0,none
Gene_00092,True,4.527581153862831,up
Gene_00093,False,1.0,none
Gene_00094,False,1.0,none
Gene_00095,False,1.0,none
Gene_00096,False,1.0,none
Gene_00097,False,1.0,none
Gene_00098,False,1.0,none
Gene_00099,False,1.0,none
Gene_00100,False,1.0,none
Gene_00101,False,1.0,none
Gene_00102,False,1.0,none
Gene_00103,True,0.30644042578441205,down
Gene_00104,False,1.0,none
Gene_00105,False,1.0,none
Gene_00106,False,1.0,none
Gene_00107,False,1.0,none
Gene_00108,False,1.0,none
Gene_00109,False,1.0,none
Gene_00110,False,1.0,none
Gene_00111,False,1.0,none
Gene_00112,False,1.0,none
Gene_00113,False,1.0,none
Gene_00114,False,1.0,none
Gene_00115,False,1.0,none
Gene_00116,False,1.0,none
Gene_00117,False,1.0,none
Gene_00118,False,1.0,none
Gene_00119,False,1.0,none
Gene_00120,False,1.0,none
Gene_00121,False,1.0,none
Gene_00122,True,2.4814294289511256,up
Gene_00123,False,1.0,none
Gene_00124,False,1.0,none
Gene_00125,False,1.0,none
